player_name,pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,pfx_x,pfx_z,release_spin_rate,release_extension
"Abbott, Andrew",CH,84.75511811023622,1.7646194225721785,5.8712598425196845,671096.0,14.7748031496063,12.48220472440945,2114.5380577427823,6.598162729658793
"Abbott, Andrew",CU,80.80962962962963,1.6156666666666668,5.987814814814815,671096.0,-8.790666666666667,-4.071111111111112,2790.0962962962963,6.529629629629629
"Abbott, Andrew",FF,92.7863090472378,1.6974859887910327,5.831056845476381,671096.0,8.916989591673339,16.262257806244996,2254.052842273819,6.628742994395516
"Abbott, Andrew",SL,85.1,1.6740000000000002,5.856,671096.0,-4.5120000000000005,10.992,2613.4,6.659999999999999
"Abbott, Andrew",ST,82.91191588785047,1.6993457943925234,5.868457943925233,671096.0,-12.642897196261682,4.435233644859813,2729.876168224299,6.594158878504674
"Abreu, Bryan",CH,90.04285714285713,-2.0957142857142856,5.577142857142857,650556.0,-13.508571428571429,5.6571428571428575,1675.142857142857,6.528571428571429
"Abreu, Bryan",FF,96.72868988391377,-2.1175621890547265,5.648905472636816,650556.0,-6.023084577114428,16.718009950248756,2355.9417637271213,6.627197346600331
"Abreu, Bryan",SL,86.20231884057971,-2.295579710144928,5.838376811594203,650556.0,8.135304347826086,-5.860869565217391,2913.9721815519765,6.416666666666667
"Adam, Jason",CH,89.52097902097903,-1.1924475524475526,6.125594405594406,592094.0,-16.166013986013983,3.8643356643356643,2165.526690391459,6.440559440559441
"Adam, Jason",FF,95.4812048192771,-1.058578313253012,6.194771084337349,592094.0,-7.501301204819277,18.46033734939759,2647.8246913580247,6.661927710843373
"Adam, Jason",SL,84.4589519650655,-1.1634061135371179,6.140917030567685,592094.0,3.08174672489083,-3.714235807860262,2710.0535714285716,6.535371179039301
"Adam, Jason",ST,78.90670391061452,-1.3084916201117318,6.036201117318436,592094.0,17.674860335195532,-3.652290502793296,2686.892655367232,6.386033519553072
"Adams, Austin",FF,93.36562500000001,-3.4682291666666667,5.223229166666667,613534.0,-7.488125,10.573125,2666.2239583333335,5.836458333333333
"Adams, Austin",SI,93.41052631578947,-3.6999999999999997,5.242105263157894,613534.0,-12.536842105263158,3.7199999999999998,2588.8947368421054,5.773684210526316
"Adams, Austin",SL,87.6919191919192,-3.5584006734006737,5.174444444444444,613534.0,9.253131313131313,-1.0804040404040405,2967.308080808081,5.798484848484849
"Adcock, Ty",FC,92.89583333333333,-1.9704166666666667,5.885833333333333,686654.0,2.58,9.665000000000001,2253.125,6.341666666666666
"Adcock, Ty",FF,96.5878787878788,-1.8581818181818182,5.936969696969697,686654.0,-5.258181818181819,15.618181818181817,2156.5454545454545,6.296969696969697
"Adcock, Ty",SL,86.90344827586206,-1.9437931034482758,5.964137931034483,686654.0,4.212413793103448,1.1875862068965517,2159.9310344827586,6.3517241379310345
"Adon, Joan",CH,87.70882352941176,-2.1108823529411764,5.671764705882353,672851.0,-14.590588235294119,4.641176470588236,1938.264705882353,6.791176470588235
"Adon, Joan",CU,82.53809523809524,-1.9761904761904763,5.847142857142857,672851.0,6.274285714285714,-6.091428571428572,2297.4285714285716,6.447619047619048
"Adon, Joan",FF,94.71212121212122,-1.9372727272727273,5.757272727272728,672851.0,-9.216363636363637,13.694545454545455,2169.5,6.739393939393939
"Adon, Joan",SI,94.42894736842106,-2.033421052631579,5.702105263157895,672851.0,-14.80736842105263,9.909473684210527,2112.7368421052633,6.721052631578948
"Adon, Joan",SL,86.98421052631579,-2.1226315789473684,5.815789473684211,672851.0,3.271578947368421,5.595789473684211,2116.157894736842,6.6421052631578945
"Aguiar, Julian",CH,84.037,-2.4057,5.3311,687924.0,-14.180399999999999,3.8412,1523.15,5.979
"Aguiar, Julian",CU,77.9938775510204,-2.249387755102041,5.542040816326531,687924.0,7.677551020408163,-7.751020408163265,2039.795918367347,6.169387755102041
"Aguiar, Julian",SI,94.3034965034965,-2.2038811188811187,5.616678321678322,687924.0,-13.633426573426572,11.796083916083916,2068.1433566433566,5.887412587412587
"Aguiar, Julian",SL,80.32,-2.348315789473684,5.4398947368421045,687924.0,8.328,4.931368421052632,2187.547368421053,5.9526315789473685
"Akin, Keegan",CH,85.5910447761194,2.136492537313433,5.797611940298507,669211.0,15.595522388059702,9.44865671641791,2039.0373134328358,5.973134328358209
"Akin, Keegan",FF,93.88762589928058,2.1193525179856114,5.981827338129496,669211.0,9.93358273381295,18.341525179856117,2418.697947214076,5.84705035971223
"Akin, Keegan",SL,85.52402912621359,2.260655339805825,5.836796116504855,669211.0,-3.8309708737864074,2.921359223300971,2528.8977556109726,5.779611650485436
"Alcala, Jorge",CH,90.9876404494382,-2.1742696629213483,6.366966292134831,660896.0,-15.97752808988764,11.517303370786516,2381.1011235955057,5.919101123595505
"Alcala, Jorge",FF,98.0376213592233,-1.9219417475728156,6.562451456310679,660896.0,-9.82631067961165,17.4926213592233,2469.8564476885645,5.882038834951457
"Alcala, Jorge",SI,97.3157142857143,-1.8695714285714287,6.527714285714286,660896.0,-15.408,11.358857142857143,2145.7428571428572,5.894285714285715
"Alcala, Jorge",SL,89.85611111111112,-2.194972222222222,6.52363888888889,660896.0,3.5603333333333333,4.354,2503.5459610027856,5.959610027855153
"Aldegheri, Sam",CH,82.14468085106384,2.0193617021276595,5.781489361702128,691951.0,15.551489361702126,6.679148936170213,1805.0,5.948936170212766
"Aldegheri, Sam",CU,75.18947368421053,2.0342105263157895,5.990526315789474,691951.0,-13.149473684210527,-9.385263157894736,2136.2105263157896,5.531578947368421
